board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tbeam,2026-08-30 22:07:23,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0-85.8s
tbeam,2026-08-30 22:07:24,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-85.6s
tbeam,2026-08-30 22:07:29,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-59,185841,t0-80.1s
tbeam,2026-08-30 22:07:29,,got_ip,heartbeat,,,,185841,t0-80.1s
heltec,2026-08-30 22:07:29,,link_up,heartbeat,46:AF:97:2E:2B:86,3,-80,186386,t0-80.0s
heltec,2026-08-30 22:07:29,,got_ip,heartbeat,,,,186386,t0-80.0s
tdeck,2026-08-30 22:07:30,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-68,187413,t0-79.1s
tdeck,2026-08-30 22:07:30,,got_ip,heartbeat,,,,187413,t0-79.1s
tdeck,2026-08-30 22:07:53,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-56.6s
tdeck,2026-08-30 22:07:53,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-56.5s
heltec,2026-08-30 22:07:53,,udp_tx,len=66 ok=1,,,,89.185.97.38,t0-56.2s
heltec,2026-08-30 22:07:53,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-56.2s
heltec,2026-08-30 22:07:53,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-56.0s
tbeam,2026-08-30 22:07:54,,udp_tx,len=66 ok=1,,,,89.185.97.38,t0-55.6s
tbeam,2026-08-30 22:07:54,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0-55.6s
tbeam,2026-08-30 22:07:54,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-55.6s
tdeck,2026-08-30 22:07:56,,udp_tx,len=73 ok=1,,,,89.185.97.38,t0-53.3s
tbeam,2026-08-30 22:07:56,,udp_tx,len=74 ok=1,,,,89.185.97.38,t0-53.2s
rak,2026-08-30 22:07:57,,link_up,eth heartbeat,,,,804584,t0-52.3s
rak,2026-08-30 22:07:57,,got_ip,eth heartbeat 192.168.68.72,,,,804584,t0-52.3s
rak,2026-08-30 22:07:57,,udp_rx,eth rx_n +2,,,,30,t0-52.3s
heltec,2026-08-30 22:08:02,,udp_tx,len=73 ok=1,,,,89.185.97.38,t0-47.2s
