board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
heltec,2026-08-31 04:10:50,19683742,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=364 ip=1,
heltec,2026-08-31 04:11:50,19743745,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=424 ip=1,
heltec,2026-08-31 04:12:50,19803747,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=484 ip=1,
heltec,2026-08-31 04:13:50,19863747,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=544 ip=1,
heltec,2026-08-31 04:14:42,19916211,drop,,,,,,
heltec,2026-08-31 04:14:42,19916213,disconnected,8:ASSOC_LEAVE,,,,,our drop
heltec,2026-08-31 04:14:42,19916213,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,cached
heltec,2026-08-31 04:14:46,19919635,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,live
heltec,2026-08-31 04:14:46,19920200,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=3989,live
heltec,2026-08-31 04:14:50,19923752,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=3 ip=1,
heltec,2026-08-31 04:15:50,19983753,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=63 ip=1,
heltec,2026-08-31 04:16:50,20043768,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=123 ip=1,
heltec,2026-08-31 04:17:50,20103771,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=183 ip=1,
heltec,2026-08-31 04:18:50,20163773,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=243 ip=1,
heltec,2026-08-31 04:19:50,20223773,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=303 ip=1,
heltec,2026-08-31 04:20:50,20283775,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=363 ip=1,
heltec,2026-08-31 04:21:50,20343775,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=423 ip=1,
heltec,2026-08-31 04:22:50,20403780,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=483 ip=1,
heltec,2026-08-31 04:23:50,20463784,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=543 ip=1,
