board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tbeam,2026-08-31 02:44:36,14509361,assoc_disconnected,8,46:AF:97:2E:2B:86,3,-72,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 02:44:40,14512813,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-59,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 02:44:40,14513388,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4032,live BSSID_CHANGE
tbeam,2026-08-31 02:44:50,14523325,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=9 ip=1,
tbeam,2026-08-31 02:45:50,14583326,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=69 ip=1,
tbeam,2026-08-31 02:46:50,14643326,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=129 ip=1,
tbeam,2026-08-31 02:47:50,14703327,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=189 ip=1,
tbeam,2026-08-31 02:48:50,14763332,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=249 ip=1,
tbeam,2026-08-31 02:49:50,14823334,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=309 ip=1,
tbeam,2026-08-31 02:50:50,14883336,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=369 ip=1,
tbeam,2026-08-31 02:51:50,14943336,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=429 ip=1,
tbeam,2026-08-31 02:52:50,15003337,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=489 ip=1,
tbeam,2026-08-31 02:53:50,15063339,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=549 ip=1,
tbeam,2026-08-31 02:54:37,15110221,drop,,,,,,
tbeam,2026-08-31 02:54:37,15110227,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 02:54:37,15110227,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 02:54:40,15113663,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 02:54:41,15114194,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=3973,live
tbeam,2026-08-31 02:54:50,15123342,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=9 ip=1,
tbeam,2026-08-31 02:55:50,15183344,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=69 ip=1,
tbeam,2026-08-31 02:56:50,15243347,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=129 ip=1,
tbeam,2026-08-31 02:57:50,15303349,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=189 ip=1,
tbeam,2026-08-31 02:58:50,15363352,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=249 ip=1,
tbeam,2026-08-31 02:59:50,15423353,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=309 ip=1,
tbeam,2026-08-31 03:00:50,15483357,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=369 ip=1,
tbeam,2026-08-31 03:01:50,15543359,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=429 ip=1,
tbeam,2026-08-31 03:02:50,15603363,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=489 ip=1,
tbeam,2026-08-31 03:03:50,15663365,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=549 ip=1,
tbeam,2026-08-31 03:04:38,15711082,drop,,,,,,
tbeam,2026-08-31 03:04:38,15711087,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 03:04:38,15711087,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 03:04:41,15714531,assoc_connected,0,46:AF:97:2E:2B:86,3,-71,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 03:04:42,15715135,assoc_got_ip,0,46:AF:97:2E:2B:86,3,-69,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4053,live BSSID_CHANGE
tbeam,2026-08-31 03:04:50,15723370,link,up,46:AF:97:2E:2B:86,3,-70,age_s=8 ip=1,
tbeam,2026-08-31 03:05:50,15783375,link,up,46:AF:97:2E:2B:86,3,-72,age_s=68 ip=1,
tbeam,2026-08-31 03:06:50,15843376,link,up,46:AF:97:2E:2B:86,3,-73,age_s=128 ip=1,
